mf_ind,mf,ec,C,H,O,NSP,other,search_m0,search_m,pa_mm_abs,pa_mm_max,pa_mm_rel,major_count,minor_count,major_multi_count,minor_multi_count,p_d1,p_d2,p_dinf,pa_sum_abs,pa_sum_max,pa_sum_rel,tma_m_err_ppm
4273,C18H23O9Cl,HCOCl,18,23,9,0,1,418.10306,417.09578353312,3,6.8,0.441176470588235,3,0,0,0,0.0818179196212441,0.0635795898265775,0.062290370464325,1.51464089751244,1.62646743864752,0.931245754770181,0.175273521290807
4279,C19H27O8Cl,HCOCl,19,27,8,0,1,418.1394455,417.13216903312,4,6.7,0.597014925373134,4,0,0,0,0.0473786542424932,0.0264731698775233,0.0215462744235992,1.59120754152536,1.64588946755975,0.966776671755811,0.176474807461919
4283,C20H31O7Cl,HCOCl,20,31,7,0,1,418.175831,417.16855453312,3,5.8,0.517241379310345,3,0,0,0,0.137095808051527,0.0826044298170474,0.0692115277051926,1.5362723916769,1.65543841174804,0.928015431304809,0.112953833720364
4326,C18H25O9Cl,HCOCl,18,25,9,0,1,420.1187101,419.11143363312,2,6.8,0.294117647058824,2,0,0,0,0.395801970968023,0.32608506380421,0.319957792758942,1.19468310475349,1.59030458703637,0.751229113273111,0.134622619450431
4330,C19H29O8Cl,HCOCl,19,29,8,0,1,420.1550956,419.14781913312,2,6.8,0.294117647058824,2,0,0,0,0.409951942623593,0.327138001441144,0.319957792758942,1.20549879968166,1.60507157177199,0.751056102969167,0.221710412231908
4425,C20H21O8Cl,HCOCl,20,21,8,0,1,424.0924953,423.08521883312,3,6.7,0.447761194029851,3,0,0,0,1.02228845190257,0.79530759457944,0.783685386180878,1.5362723916769,1.65786203020252,0.926658771170019,0.543754678422444
4471,C19H19O9Cl,HCOCl,19,19,9,0,1,426.0717599,425.06448343312,2,6.8,0.294117647058824,2,0,0,0,0.50132116349414,0.344095580303905,0.319957792758942,1.20549879968166,1.60443748394027,0.751352926959253,0.437287650944913
4477,C20H23O8Cl,HCOCl,20,23,8,0,1,426.1081454,425.10086893312,3,6.7,0.447761194029851,3,0,0,0,0.440724055282772,0.357756673637868,0.350699126720428,1.5362723916769,1.65809205616824,0.926530216438731,0.504311439888494
4481,C21H27O7Cl,HCOCl,21,27,7,0,1,426.1445309,425.13725443312,3,6.7,0.447761194029851,3,0,0,0,0.835975355119444,0.596458185746741,0.503301084041595,1.29980239272118,1.63938743062317,0.792858581468499,0.778315778945936
4485,C22H31O6Cl,HCOCl,22,31,6,0,1,426.1809164,425.17363993312,3,5.8,0.517241379310345,3,0,0,0,0.570698887109756,0.422774605788086,0.408501952886581,1.5579037964344,1.68788578617387,0.92299124099261,0.678308285655262
4521,C19H21O9Cl,HCOCl,19,21,9,0,1,428.0874099,427.08013343312,3,6.8,0.441176470588235,3,0,0,0,0.160361137706786,0.0977905561234145,0.0700807422399521,1.52545659244061,1.64316602982581,0.928364246066066,0.370675834951663
4528,C20H25O8Cl,HCOCl,20,25,8,0,1,428.1237954,427.11651893312,3,6.7,0.447761194029851,3,0,0,0,0.193816627375782,0.110305662777015,0.0748497098684311,1.5362723916769,1.65832208329812,0.926401696720773,0.477190973485811
4533,C21H29O7Cl,HCOCl,21,29,7,0,1,428.1601809,427.15290443312,3,6.8,0.441176470588235,3,0,0,0,0.205806753248908,0.12433019758521,0.0967371463775635,1.54708808660507,1.67361820850056,0.92439726022768,0.536866317593773
4536,C22H33O6Cl,HCOCl,22,33,6,0,1,428.1965665,427.18929003312,2,5.8,0.344827586206897,2,0,0,0,0.492904454469681,0.340613442917136,0.319957792758942,1.23794600367546,1.64876348385587,0.75083298229067,0.427753823152183
4575,C19H23O9Cl,HCOCl,19,23,9,0,1,430.10306,429.09578353312,3,6.8,0.441176470588235,3,0,0,0,0.114397477824241,0.072186724193914,0.0657509490847588,1.52545659244061,1.64339605579153,0.928234303024345,0.155315806182779
